95380         365     5       188     73      74      13
95900         365     5       188     73      74      13
107801        365     5       163     86      75      18
133200        365     6       192     77      85      11
124980        375     5       177     62      98      12
88530         395     5       207     87      88      13
101300        395     5       207     87      88      13
112000        395     5       207     87      88      13
119799        395     5       207     87      88      13
143994        395     5       207     87      88      13
113390        395     6       207     87      88      13
143970        400     6       207     93      78      22
82800         401     4       217     64      96      24
77785         401     5       202     89      93      17
79990         401     5       202     89      93      17
82784         401     5       224     90      74      13
86800         401     5       212     69      79      13
87000         401     5       194     88      83      13
98700         401     5       202     89      93      17
99300         401     5       224     90      74      13
99703         401     5       208     93      78      22
99748         401     5       208     93      78      22
102080        401     5       224     73      74      13
116400        401     5       194     88      83      13
116400        401     5       194     88      83      13
116660        401     5       212     69      79      13
128922        401     5       199     86      75      18
137752        401     5       208     93      78      22
168788        401     5       224     73      74      13
92999         401     6       208     93      78      22
80999         404     5       211     93      78      22
81834         404     5       211     93      78      22
95872         404     5       206     88      98      12
97290         404     5       206     88      98      12
99800         404     5       206     88      98      12
91600         415     5       210     107     80      18
96500         415     5       210     107     80      18
100350        415     5       215     90      97      13
145912        416     5       215     84      80      17
155000        418     6       160     120     70      20
114700        430     6       217     112     83      18
133322        435     6       225     101     85      24
170400        435     6       225     101     85      24
118000        438     5       228     101     85      24
142000        438     5       228     101     85      24
127000        445     5       213     98      92      15
134800        445     5       213     98      92      15
122500        445     6       214     98      92      13
127770        445     6       214     102     92      12
131700        451     5       245     89      84      15
159000        451     5       245     89      84      15
126500        453     6       246     90      84      15
99800         455     5       242     77      88      13
119200        455     5       242     77      88      13
104800        465     5       233     122     90      20
132700        465     5       237     99      92      14
132999        465     5       237     99      92      14
129785        465     6       233     122     90      20
163952        465     6       238     94      89      21
138750        470     6       239     102     92      12
129998        480     6       240     127     93      20
135000        495     5       260     87      112     36
138993        495     6       238     114     100     14
140000        495     6       238     110     100     15
138000        498     5       241     110     100     15
158000        498     5       241     110     100     15
181892        506     6       259     109     89      26
153945        525     6       268     114     100     14
159000        535     6       275     141     99      20
207900        535     6       273     143     99      20
197000        545     6       324     120     85      16
209600        545     6       324     120     85      16
199800        565     6       288     153     104     20
