accept	http://www.famfamfam.com/lab/icons/silk/icons/accept.png
add	http://www.famfamfam.com/lab/icons/silk/icons/add.png
application	http://www.famfamfam.com/lab/icons/silk/icons/application.png
application_double	http://www.famfamfam.com/lab/icons/silk/icons/application_double.png
award_star_bronze	http://www.famfamfam.com/lab/icons/silk/icons/award_star_bronze_2.png
award_star_gold	http://www.famfamfam.com/lab/icons/silk/icons/award_star_gold_2.png
award_star_silver	http://www.famfamfam.com/lab/icons/silk/icons/award_star_silver_2.png
bell	http://www.famfamfam.com/lab/icons/silk/icons/bell.png
book	http://www.famfamfam.com/lab/icons/silk/icons/book.png
book_open	http://www.famfamfam.com/lab/icons/silk/icons/book_open.png
bug	http://www.famfamfam.com/lab/icons/silk/icons/bug.png
cancel	http://www.famfamfam.com/lab/icons/silk/icons/cancel.png
cart	http://www.famfamfam.com/lab/icons/silk/icons/cart.png
control_eject	http://www.famfamfam.com/lab/icons/silk/icons/control_eject_blue.png
control_end_blue	http://www.famfamfam.com/lab/icons/silk/icons/control_end_blue.png
control_equalizer	http://www.famfamfam.com/lab/icons/silk/icons/control_equalizer_blue.png
control_fastforward	http://www.famfamfam.com/lab/icons/silk/icons/control_fastforward_blue.png
control_pause	http://www.famfamfam.com/lab/icons/silk/icons/control_pause_blue.png
control_play	http://www.famfamfam.com/lab/icons/silk/icons/control_play_blue.png
control_repeat	http://www.famfamfam.com/lab/icons/silk/icons/control_repeat_blue.png
control_rewind	http://www.famfamfam.com/lab/icons/silk/icons/control_rewind_blue.png
control_start	http://www.famfamfam.com/lab/icons/silk/icons/control_start_blue.png
control_stop	http://www.famfamfam.com/lab/icons/silk/icons/control_stop_blue.png
delete	http://www.famfamfam.com/lab/icons/silk/icons/delete.png
email	http://www.famfamfam.com/lab/icons/silk/icons/email.png
error	http://www.famfamfam.com/lab/icons/silk/icons/error.png
exclamation	http://www.famfamfam.com/lab/icons/silk/icons/exclamation.png
feed	http://www.famfamfam.com/lab/icons/silk/icons/feed.png
heart	http://www.famfamfam.com/lab/icons/silk/icons/heart.png
help	http://www.famfamfam.com/lab/icons/silk/icons/help.png
hourglass	http://www.famfamfam.com/lab/icons/silk/icons/hourglass.png
information	http://www.famfamfam.com/lab/icons/silk/icons/information.png
ipod	http://www.famfamfam.com/lab/icons/silk/icons/ipod.png
key	http://www.famfamfam.com/lab/icons/silk/icons/key.png
lightbulb	http://www.famfamfam.com/lab/icons/silk/icons/lightbulb.png
link	http://www.famfamfam.com/lab/icons/silk/icons/link.png
lorry	http://www.famfamfam.com/lab/icons/silk/icons/lorry.png
money_dollar	http://www.famfamfam.com/lab/icons/silk/icons/money_dollar.png
money_euro	http://www.famfamfam.com/lab/icons/silk/icons/money_euro.png
money_pound	http://www.famfamfam.com/lab/icons/silk/icons/money_pound.png
money_yen	http://www.famfamfam.com/lab/icons/silk/icons/money_yen.png
monitor	http://www.famfamfam.com/lab/icons/silk/icons/monitor.png
mouse	http://www.famfamfam.com/lab/icons/silk/icons/mouse.png
music	http://www.famfamfam.com/lab/icons/silk/icons/music.png
new	http://www.famfamfam.com/lab/icons/silk/icons/new.png
pencil	http://www.famfamfam.com/lab/icons/silk/icons/pencil.png
phone	http://www.famfamfam.com/lab/icons/silk/icons/phone.png
printer	http://www.famfamfam.com/lab/icons/silk/icons/printer.png
sound	http://www.famfamfam.com/lab/icons/silk/icons/sound.png
star	http://www.famfamfam.com/lab/icons/silk/icons/star.png
status_away	http://www.famfamfam.com/lab/icons/silk/icons/status_away.png
status_busy	http://www.famfamfam.com/lab/icons/silk/icons/status_busy.png
status_offline	http://www.famfamfam.com/lab/icons/silk/icons/status_offline.png
status_online	http://www.famfamfam.com/lab/icons/silk/icons/status_online.png
tick	http://www.famfamfam.com/lab/icons/silk/icons/tick.png
user	http://www.famfamfam.com/lab/icons/silk/icons/user.png
weather_clouds	http://www.famfamfam.com/lab/icons/silk/icons/weather_clouds.png
weather_cloudy	http://www.famfamfam.com/lab/icons/silk/icons/weather_cloudy.png
weather_lightning	http://www.famfamfam.com/lab/icons/silk/icons/weather_lightning.png
weather_rain	http://www.famfamfam.com/lab/icons/silk/icons/weather_rain.png
weather_snow	http://www.famfamfam.com/lab/icons/silk/icons/weather_snow.png
weather_sun	http://www.famfamfam.com/lab/icons/silk/icons/weather_sun.png
world	http://www.famfamfam.com/lab/icons/silk/icons/world.png
